,Close_EMA_5,High,Open,Close_ROC_5,returns,body_high,Close_detail_3,Close_BB_PctB,direction,Close_ROC_20,Close_ROC_10,body_low,Close_RSI_7,Close_ROC_60,CCI_20,Close_MACD_Hist,Close_RSI_21,Close_RSI_14,DX,Low,Close_detail_2,Close_trend,Close_details,Close
2020-01-17,1.3032663686137675,1.3119,1.308,-0.02817983860637918,-0.00520036708473548,1.308,-0.002151120750312275,,-1,,-0.876324011277918,1.3008,38.76651982378851,,,-0.0004294509565216575,,40.62500000000003,11.40065146579962,1.3005,-0.0008585292960466136,1.3016851569277215,-0.0039244886971205924,1.3008
2020-01-18,1.3024553568536228,1.3084,1.3054000000000001,0.15655476850426897,2.562525625249279e-05,1.3054000000000001,0.0009215443524201061,,-1,,-0.6769998218421613,1.3008333333333333,43.37152209492613,,,-0.0003477475814978419,,36.55821917808238,17.052631578948834,1.2990666666666666,-0.0036332024287950905,1.3022451692943784,-0.0021035580469578948,1.3008333333333333
2020-01-19,1.3019257934579709,1.3049,1.3028,-0.06401884714860584,2.5624599615525767e-05,1.3028,0.0016465997716659264,,-1,,-0.43117744610282616,1.3008666666666666,49.16820702402967,,,-0.00022880476726990472,,31.893382352941146,22.369765066395928,1.2976333333333334,-0.0041344280835193155,1.3031140537175478,0.00013214472679490925,1.3008666666666666
2020-01-20,1.301583862305314,1.3014,1.3002,-0.20711874808224673,2.5623943012309525e-05,1.3009,-0.0006995986726768722,0.269790781607833,1,,-0.3828777088597968,1.3002,56.68789808917184,,-99.09090909091162,-9.223468051515037e-05,,26.488095238095397,27.380952380953925,1.2962,-0.001051350889633329,1.3042170980644117,0.002527190634626446,1.3009
2020-01-21,1.3026225748702094,1.3085,1.3013,-0.22178036096666132,0.0029210546544700122,1.3047,-0.002743887371715264,0.4307007163436744,1,-1.5617926663648696,0.08950033242980382,1.3013,59.03614457831283,,-35.394932935917076,0.0002888146980839206,,38.484848484848534,15.98915989159939,1.2995,0.0015791678492370652,1.3053812974128962,0.0034471425195626224,1.3047
2020-01-22,1.306415049913473,1.3154,1.3051,1.01476014760149,0.007128075419636781,1.314,0.0024276726958262058,0.8648429700470631,1,-0.030432136335967197,0.9862943512232825,1.3051,71.66666666666637,,75.57683464524074,0.0011534626062587473,42.03910614525153,55.41561712846336,5.910165484632894,1.3034,0.0016380917917713106,1.306460304846435,0.00701734746799045,1.314
2020-01-23,1.3083100332756488,1.3152,1.3142,0.8661114670083458,-0.0014459665144597178,1.3142,0.0010500203814013168,0.7613383765166272,-1,0.26746140913953553,1.0240221743147648,1.3121,60.273972602739484,,93.61791499304412,0.0015585076224426857,48.16000000000003,57.29166666666665,25.842696629213073,1.3097,0.001812133689576495,1.30746077328198,0.0029050295158309595,1.3121
2020-01-24,1.3080733555170994,1.3174,1.3122,0.5176036488494962,-0.003429616645072797,1.3122,-0.0017157824164097926,0.5666039035400338,-1,-0.28216273926636726,0.4532534378120845,1.3076,67.3469387755105,,62.13426960314848,0.0014847712408096493,49.183006535947804,52.00945626477544,13.131313131312776,1.3057,0.002127932469233599,1.3083573301719766,-0.0026679260129198884,1.3076
2020-01-25,1.3076600147891775,1.3151,1.3106333333333333,0.45609449868040386,-0.0005863158968084647,1.3106333333333333,-0.0005718532421335675,0.5506590949410104,-1,-0.5454084221207633,0.24803109338242812,1.3068333333333333,64.7540983606556,,47.619047619048025,0.0013496778551208817,46.231721034870716,54.054054054053815,19.57295373665438,1.3051333333333335,0.0011966156858070453,1.3091067103635297,-0.004458186147348183,1.3068333333333333
2020-01-26,1.3071288987483407,1.3128,1.3090666666666668,0.1047494954140138,-0.0005866598648130994,1.3090666666666668,0.0008462892083513711,0.5452501894936016,-1,-0.8075744917850125,-0.11726317936168185,1.3060666666666667,62.34177215189889,,34.734734734730104,0.0011801327176379699,43.08139534883724,56.26598465473156,26.792452830188157,1.3045666666666667,-0.0006224454566455203,1.309683231729431,-0.004682369977579252,1.3060666666666667
2020-01-27,1.306519265832227,1.3105,1.3075,-0.6621004566210176,-0.0005870042366393768,1.3075,0.001145427456499788,0.523147034078053,-1,-0.5334146155604791,0.34594095940958525,1.3053,60.09174311926584,,22.289358845248437,0.0009951919646587534,39.71119133574011,58.66666666666648,34.939759036143954,1.304,-0.003285679609977559,1.309966233561937,-0.005390881129984099,1.3053
2020-01-28,1.3052461772214847,1.3066,1.3056,-0.7164088103041033,-0.0019918792614723735,1.3056,-0.0007299249754533548,0.3803011233026121,-1,-0.5344735435595993,0.14349775784754382,1.3027,45.145631067961205,,-58.98696302628916,0.0006910291438940552,41.044776119403025,51.34408602150522,15.167095115681303,1.2975,-0.005321678999991462,1.309857120610984,-0.006974015765803458,1.3027
2020-01-29,1.3041641181476566,1.3032,1.3028,-0.4282655246252709,-0.0005373455131648663,1.3028,-0.0016130298206340245,0.35046734526621576,-1,-0.3444316877152631,0.08712140624200782,1.302,0.0,,-71.48882328131613,0.0004477635244802907,42.55319148936174,47.77777777777773,13.385826771653807,1.2989,-0.0017327471224368473,1.3093232116255489,-0.002116046648365155,1.302
2020-01-30,1.3059094120984378,1.3112,1.302,0.19640351995917626,0.005683563748079656,1.3094,0.0005798052021818882,0.7989515697126154,1,0.2680143962018322,0.6533938042893261,1.302,42.2857142857138,,29.787234042554225,0.0007713220101229611,52.593917710196685,52.28426395939061,21.42857142857169,1.2978,0.006400318514464978,1.308324864951747,0.009267353351463937,1.3094
2020-01-31,1.3105729413989586,1.321,1.31,1.0591598182839057,0.008018939972506578,1.3199,0.002887586898971049,1.1840247984031096,1,1.2555618063724294,1.1650187782632049,1.31,76.17021276595732,,196.00670629477017,0.0016292701520861695,60.63829787234035,72.15777262180981,31.67701863354054,1.3083,0.006722428925420396,1.3068750571781227,0.01235752846866615,1.3199
2020-02-01,1.3113930720437503,1.3212333333333333,1.3139,0.5924563957200091,-0.005202414324317561,1.3139,-0.003311665414484451,0.8232253918833591,-1,0.9120020494428172,-0.07356671740234022,1.3130333333333333,60.472972972972926,,119.8448968286932,0.0016651747872783933,56.75675675675657,62.2162883845126,26.609157266091724,1.3049333333333333,-0.002749414449727013,1.3050226763307535,-0.0031687911654430133,1.3130333333333333
2020-02-02,1.3096509369180558,1.3214666666666668,1.3178,0.2661139684245528,-0.005229620979411487,1.3178,0.0010011160868712101,0.4933820581035716,-1,0.567190226876102,-0.452201305794786,1.3061666666666667,50.140056022408956,,57.971014492759366,0.0011801610275788685,53.34224598930487,54.668232530828,21.91693290734837,1.3015666666666668,-0.005934478070249823,1.3028215370343963,-0.0025363114999521963,1.3061666666666667
2020-02-03,1.3062006246120372,1.3217,1.3217,-0.20737327188941057,-0.005257113691463644,1.3217,1.5890552426360223e-05,0.17903677539006643,-1,-0.18437427978797993,-0.6347506882838916,1.2993,42.822966507177036,,-4.233674463936893,0.00039138110685452685,50.315258511979785,48.74213836477985,17.560073937153525,1.2982,0.0005517992782819475,1.3003886717258264,0.0019810109073300844,1.2993
2020-02-04,1.3051004164080249,1.3047,1.2996,-0.4964105697265908,0.002770722696836758,1.3029,0.0005462079192693795,0.3490554058780787,1,-0.05369745320651376,-0.3009820175997935,1.2996,50.233644859813054,,-107.34944621317591,0.00012062176608365507,50.74999999999991,48.58044164037854,3.3268101761253153,1.2941,0.002877037859680132,1.2979065159493235,0.0032326919298791747,1.3029
2020-02-05,1.30340027760535,1.3071,1.3034,-1.507689976513371,-0.0022258039757463433,1.3034,-0.0005929999599332412,0.23966593534950395,-1,-0.5812174977057216,-0.4644990046449915,1.3,47.777777777777786,,-90.66442388561435,-0.00022634839506599025,47.777777777777764,37.719298245614056,13.304721030042884,1.2956,-0.0006327077203071473,1.2956196918732972,-0.0034874932188448437,1.3
2020-02-06,1.2998668517369,1.3005,1.2999,-1.5409611332537931,-0.005538461538461603,1.2999,7.48013856142638e-05,-0.009195084762090043,-1,-0.6150061500615034,-0.9576342603232924,1.2928,31.473214285714505,,-159.93618506331677,-0.0008767973334293981,41.21140142517811,34.510433386837875,19.36127744510985,1.2921,-0.0011465023409632184,1.2938647873056086,-0.004771104450835376,1.2928
2020-02-07,1.2962779011579335,1.296,1.293,-1.306622432053095,-0.002862004950495045,1.293,8.11185308408973e-05,-0.051332794032343636,-1,-0.9019859064702151,-1.043985568434791,1.2891,9.473684210526386,,-185.26384577683413,-0.001458003059982197,42.786683107274975,34.95934959349586,19.36127744510985,1.2881,0.0009786951045841956,1.2928898506948723,-0.0028345448130044524,1.2891
2020-02-08,1.2941297118830668,1.2955666666666668,1.2919333333333334,-0.7285974499089298,0.0005688723398753481,1.2919333333333334,-0.00014085401769406186,0.039910965393869874,-1,-0.8481525137088219,-0.9344598054275677,1.2898333333333332,13.598326359832512,,-161.18921999194396,-0.0016790926580975566,43.27628361858186,36.17136659436001,18.929765886287758,1.2878,0.0008004075566238171,1.2927263763739212,-0.002365706696683351,1.2898333333333332
2020-02-09,1.292942030144267,1.2951333333333332,1.2908666666666666,-0.9466062885358228,0.0005685489081277417,1.2908666666666666,6.514297173423798e-05,0.10760178548109767,-1,-0.7943218797242912,-1.438317804592426,1.2905666666666666,19.689119170984668,,-144.37482974666173,-0.001659051569637116,43.75757575757581,37.38469886055346,18.493611297915418,1.2874999999999999,-0.0009431927758716544,1.293320845103453,-0.002133662671627972,1.2905666666666666
2020-02-10,1.2923946867628446,1.2947,1.2898,-0.6692307692307775,0.0005682258439445587,1.2913,0.0001779605399092028,0.16702506108775608,1,-1.0270560282057195,-2.1668308205167186,1.2898,29.591836734693928,,-122.6809564405476,-0.0014851437111632663,44.230769230769226,38.59934853420197,18.052738336714203,1.2872,-0.0010234478896936313,1.2944598927393836,-6.922979289855597e-05,1.2913
2020-02-11,1.2932964578418964,1.2969,1.2915,0.17790841584157668,0.002942770851080301,1.2951,0.0008872975934241422,0.2963284415233955,1,-1.4383561643835696,-1.365794216953109,1.2915,30.30303030303027,,-85.79626972740216,-0.0010248192341445728,44.230769230769226,43.929712460063875,0.444444444444893,1.2895,0.0004472248466172262,1.2959009885053865,0.003765267428202337,1.2951
2020-02-12,1.2941976385612644,1.2993,1.2952,0.5352571561554775,0.0006949270326617185,1.296,-0.0027789583401646176,0.3416006503625147,1,-1.2270406219038188,-0.7783590659691253,1.2952,38.76404494382037,,-52.598632732065006,-0.0005918407939062599,37.96791443850273,45.22292993630575,4.641350210969938,1.2948,0.0009129409540416319,1.2975720541651543,0.0019511462662033761,1.296
2020-02-13,1.297631759040843,1.307,1.2961,1.1370978162553502,0.006558641975308532,1.3045,0.002197841228477894,0.6016683733915179,1,-0.23707555827471305,0.40021550065421074,1.2961,80.62827225130883,,3.772922698954871,0.0002876634048592148,45.331695331695315,46.16588419405331,4.03397027600803,1.2944,5.100967517478286e-05,1.2992512948927597,0.006902966055053961,1.3045
2020-02-14,1.2999545060272288,1.3064,1.3051,1.0873776377301914,7.665772326559406e-05,1.3051,0.0006435802806642114,0.6089456084922749,-1,-0.17089656931513764,0.13047816409548219,1.3046,100.0,,25.903952733222372,0.0008642122158605205,48.05194805194799,35.70093457943925,21.179624664879938,1.3001,-0.0004097007603673865,1.3005413786254707,0.004420919978874278,1.3046
2020-02-15,1.301058559573708,1.3061,1.3046,0.9267146802963477,-0.0010220246307937053,1.3046,-0.001052051657014643,0.573143167740061,-1,-0.2143841559900106,0.2512820512820424,1.3032666666666666,91.71842650103484,,22.929195201690703,0.0011272091184006908,47.70090244950578,39.81931897150801,13.614103819784969,1.3,-0.00023434809744739694,1.301190754245696,0.0009655050722438524,1.3032666666666666
2020-02-16,1.3013501508269165,1.3058,1.3041,0.5276297840578703,-0.0010230702337714614,1.3041,-0.0012749776416210942,0.5375994403290012,-1,-0.25792282744706574,0.7064768976897673,1.3019333333333334,84.03193612774487,,19.26095625981162,0.001177321889422696,47.354948805460765,45.011783189316624,4.442036836403964,1.2999,-1.4645560468566749e-05,1.3010792014343693,-0.0021046606133486466,1.3019333333333334
2020-02-17,1.3011001005512777,1.3055,1.3036,0.3549382716049321,-0.0010241179783911925,1.3036,0.0003504815373579158,0.4995343942516039,-1,-0.1612036539494932,0.892095260259107,1.3006,76.87861271676312,,12.677106636837419,0.001088692662061807,47.01397712833551,51.76151761517625,6.909090909090125,1.2998,0.0003449827154237043,1.3002224538627405,-0.003503638493614623,1.3006
2020-02-18,1.300666733700852,1.3049,1.3007,-0.3602912993484031,-0.0006151007227432892,1.3007,0.0034316661682321056,0.47810323649190056,-1,-0.1689708141321078,0.7727096524098975,1.2998,66.43356643356698,,-2.9661058565869203,0.0009493034651176209,48.114434330299154,45.45454545454563,12.64367816091804,1.2971,0.0005634524942962473,1.2989534239511915,-0.0020593673905448073,1.2998
2020-02-19,1.2977444891339014,1.3024,1.2998,-0.9734784608309011,-0.006077858132020331,1.2998,-0.0015623903924147147,0.25789887621891655,-1,-1.3364899954177334,0.10331378980810157,1.2919,40.37558685446006,,-61.46970048757803,0.00033013684692915005,43.99524375743165,39.641943734015385,18.272425249170226,1.2907,0.00022518888013900386,1.2975216039802095,-0.006584230817443592,1.2919
2020-02-20,1.2944629927559343,1.293,1.2922,-1.1790884444216942,-0.0030962148773124865,1.2922,-0.004599763555180529,0.12916464831328786,-1,-2.424426092885823,-0.2633005498334895,1.2879,0.5952380952380167,,-121.68658151352791,-0.00030915078657695874,36.67905824039669,43.1754874651812,24.307692307692896,1.2848,-0.0005263681141596226,1.2958420072980106,-0.0076512916924938125,1.2879
2020-02-21,1.2952753285039562,1.2982,1.2884,-0.3866045368426496,0.006988120195667191,1.2969,0.004109520839302529,0.4861722364417777,1,-1.2287070650656262,0.1389854065323215,1.2884,35.01945525291811,,-47.51499571550969,-9.720312174726431e-05,35.47979797979792,59.46601941747579,3.857566765578173,1.2877,-0.0012577964087375447,1.2939747838483227,0.004043679209820187,1.2969
2020-02-22,1.2953502190026376,1.2979,1.2909666666666666,-0.3921267107488968,-0.0010794972627033994,1.2954999999999999,0.0015910577811593853,0.44552029230891904,1,-0.816639020033183,-0.038580246913588745,1.2909666666666666,34.92884864165572,,-47.48472026328208,-2.6310468033448678e-05,38.11030741410485,56.76751592356692,4.7904191616760645,1.288,-0.0008967502584076692,1.2920675247461662,0.0050481125192443485,1.2954999999999999
2020-02-23,1.2949334793350917,1.2975999999999999,1.2935333333333334,-0.4385290044622292,-0.0010806638363565213,1.2941,-0.0014245794842515664,0.3931923212178966,1,-0.40021550065418854,-0.7972403219624336,1.2935333333333334,34.8387096774192,,-48.795458032839406,-4.748470577051883e-05,41.16210937500001,54.15360501567407,5.7401812688821865,1.2883,0.000694627368837168,1.2901887858197212,0.004839623072204611,1.2941
2020-02-24,1.2941889862233946,1.2973,1.2961,0.061924297546234186,-0.0010818329340854804,1.2961,-0.0037529883761776095,0.3478649782568914,-1,-0.7828689845728709,-0.9121569829832921,1.2927,34.74903474903461,,-51.19552137288781,-0.00012514647165671718,44.745222929936354,51.62037037037046,6.707317073170633,1.2886,0.0014725408751353113,1.28854272773678,0.0031813154696749453,1.2927
2020-02-25,1.2962593241489297,1.3019,1.2923,0.9705722493982494,0.0059565251024986665,1.3004,0.004922968417367019,0.710047855896447,1,0.030769230769234213,-0.2199601002608742,1.2923,50.91463414634136,,31.49756870458267,0.00034688360712050977,48.131539611360274,55.62632696390667,13.068181818182156,1.2914,0.0006962901177821199,1.287220389123371,0.00993902565869808,1.3004
2020-02-26,1.2942728827659533,1.3013,1.3005,-0.5089058524172962,-0.007766840972008637,1.3005,-0.0019364463647022195,0.2453605698890959,-1,-0.19337871287128383,-0.8935429361462521,1.2903,47.71428571428564,,-35.16572352466081,1.9602542474326384e-06,43.45479082321185,44.93783303730013,1.156069364162347,1.2896,-0.00014909745567401965,1.2860413475001964,-0.00016746669392334762,1.2903
2020-02-27,1.2923152551773023,1.2948,1.2907,-0.5480509455808469,-0.001472525769200983,1.2907,0.0005896728290239298,0.16222783458802165,-1,-0.05430145062446101,-0.9380286021836048,1.2884,50.759878419452804,,-97.4993349294991,-0.0003136318549607094,46.80232558139538,33.802816901408406,35.73770491803201,1.286,-0.0005314880701750845,1.2849950928713163,-0.0011829437495416888,1.2884
2020-02-28,1.2888768367848682,1.2921,1.2885,-0.9350127501738692,-0.004967401428127904,1.2885,-0.0012224762927510275,-0.04434733439283519,-1,-0.6073136064090767,-1.3694414525311616,1.282,25.412541254125543,,-194.17880437447937,-0.0008807605057650335,45.034965034965104,29.821428571428555,55.4545454545448,1.2725,-0.00031436319350232436,1.284324651625763,-0.006543638198961441,1.282
2020-02-29,1.2858067800788011,1.2898,1.2856666666666667,-1.0082256775224896,-0.001820072802912076,1.2856666666666667,0.0006631769471135813,-0.04047914601483246,-1,-0.8445902316811638,-0.9469257166447309,1.2796666666666667,24.65314834578463,,-189.43999521427352,-0.0013142849692144506,43.046055631555106,29.298245614035125,55.353075170842175,1.2729666666666666,0.0006694353396266387,1.284254081756834,-0.007211747826421708,1.2796666666666667
2020-03-01,1.2829822978303118,1.2874999999999999,1.2828333333333333,-1.773813185686468,-0.0018233915082054297,1.2828333333333333,0.0009541763500343785,-0.02436926706796874,-1,-1.0815973566689951,-0.8204570748246653,1.2773333333333332,23.937823834196834,-3.6265781399326014,-181.13457624138292,-0.0016383473263365364,41.14234716644349,28.79310344827573,55.25114155251079,1.2734333333333334,0.0009409658087321327,1.285119539737366,-0.007553290179978279,1.2773333333333332
2020-03-02,1.2803215318868746,1.2852,1.28,-1.1857707509881465,-0.0018267223382045783,1.28,-0.0016120732073537018,0.00048010534747837104,-1,-1.552003706277505,-1.6886421466574153,1.275,23.262839879154114,-2.9975654290931297,-163.44630978777178,-0.0018730789466377606,39.31847968545218,28.305084745762628,55.14874141876368,1.2739,-0.00030512527988354153,1.287115496880089,-0.008506388770603212,1.275
2020-03-03,1.2805476879245832,1.2845,1.2752,-0.57435579012729,0.004705882352941115,1.281,0.0007788186831604434,0.1984320206400201,1,-1.157407407407418,-1.1192589733693525,1.2752,19.10828025477703,-2.10912425492894,-122.62357414448886,-0.001503431781360181,41.01910828025477,35.35825545171329,52.31143552311354,1.2738,-0.002026003617870513,1.2899564174542997,-0.002307405403745462,1.281
2020-03-04,1.2826984586163888,1.2874,1.2812,0.3900156006240163,0.004683840749414525,1.287,0.00012980663260606378,0.3754733068735718,1,-1.34151015714834,-0.5486438451433484,1.2812,43.95604395604383,-1.8531228551818768,-74.23580786026146,-0.0007709225921188915,44.6172248803827,46.067415730336975,32.446808510637226,1.2769,-0.0033010039576932076,1.2932805177788098,0.0022938298124106013,1.287
2020-03-05,1.2869323057442592,1.2969,1.2872,1.2294868455327013,0.0065268065268067055,1.2954,-4.454095861445314e-05,0.6265117404145311,1,-0.7051969952475812,0.20886516593179305,1.2872,60.35502958579891,-1.4155251141552472,15.401866693053035,0.0003055416235145476,44.550898203592894,55.622188905547254,7.76699029126229,1.286,-0.0025254982185735817,1.2966130713671071,0.007117866497097366,1.2954
2020-03-06,1.2928548704961729,1.3058,1.2954,2.1424843423799578,0.007179249652616848,1.3047,0.0009245211771809367,0.890096759271449,1,0.10998005013045375,0.33066748692709425,1.2954,80.92643051771094,-0.9113693324219629,104.4973985200977,0.0015978996594894733,50.0539374325782,55.82089552238807,15.367483296213969,1.2943,0.001026854264764948,1.2992679951223949,0.011212053240901316,1.3047
2020-03-07,1.2977365803307819,1.3105666666666667,1.2985,2.549019607843128,0.0021460872231162664,1.3074999999999999,-0.002055527186115579,0.9402103637482956,1,0.4275692559782662,1.3330233279082337,1.2985,87.44394618834043,-0.3657700220986104,136.08352181466626,0.002539371464369153,52.24778761061946,58.771929824561404,23.489932885906,1.2972333333333332,0.004951742195517491,1.3006059809593868,0.008593865283232426,1.3074999999999999
2020-03-08,1.301924386887188,1.3153333333333335,1.3016,2.2872755659641086,0.00214149139579356,1.3103,-0.0009553734287348941,0.9657739589575385,1,0.7458096263263103,1.6997826761875112,1.3016,93.79982285208159,0.04581201801938661,160.94129522727633,0.003205773328444861,54.37434646218192,61.604584527220574,30.189834660134824,1.3001666666666667,0.0071284174473505045,1.2997057822332898,0.006687787363916281,1.3103
2020-03-09,1.3056495912581254,1.3201,1.3047,2.027972027972025,0.002136915210257051,1.3131,0.005751056974059434,0.9737129158347195,1,1.023234343745183,2.4258970358814302,1.3047,100.0,0.5051664753157326,177.06019957952014,0.003657526189846392,56.43666323377958,64.32584269662917,35.810810810810764,1.3031,0.006055928644987166,1.2952284862119152,0.007409817281722216,1.3131
2020-03-10,1.3006330608387504,1.3133,1.313,-0.37054191755443444,-0.01713502398903355,1.313,-0.006287246519577804,0.45645387824100647,-1,-0.10062698351266386,0.8543891638447487,1.2906,58.791208791208845,-1.1716057891109632,44.29528238425128,0.002328136446718084,46.12794612794609,44.30232558139533,2.2988505747127133,1.2881,0.0001597430133228307,1.2863393713248708,-0.013055962475430168,1.2906
2020-03-11,1.294422040559167,1.2978,1.2904,-1.7398635701693865,-0.0066635673330233125,1.2904,0.0024293446309813205,0.2695545889756469,-1,-0.45811010171596944,0.36534446764093786,1.282,45.62937062937072,-1.6519204214187178,-47.22366372599939,0.0008338090657537183,45.85774058577405,45.08875739644972,5.695364238410537,1.2804,-0.009856428585452295,1.273094442558694,-0.015379685149619455,1.282
2020-03-12,1.281981360372778,1.2851,1.2818,-3.854684512428286,-0.01942277691107641,1.2818,0.0018145872219063155,-0.11378612398964501,-1,-3.068856503970996,-1.403921568627431,1.2571,24.01628222523732,-3.386704239784799,-195.59428709755502,-0.0017276912604150163,39.031339031339044,35.44186046511632,31.074540174249584,1.249,-0.017764644534357686,1.2560163270104316,-0.023573696089906646,1.2571
2020-03-13,1.263854240248519,1.2626,1.2574,-6.311531710295348,-0.023466709092355487,1.2574,-0.0030280436986188527,-0.26491650991063076,-1,-5.241219606329595,-4.1686182669789185,1.2276,8.945686900958435,-5.481983369263932,-276.7188884489953,-0.00511342032998853,28.46488502175268,29.173047473200626,36.42857142857135,1.2268,-0.008677154788142027,1.23651423206638,-0.0162742082580597,1.2276
2020-03-14,1.2516583823879015,1.2561,1.2477666666666667,-6.536694336557247,-0.00027153252959699614,1.2477666666666667,0.003998599159727723,-0.10100490896540282,-1,-5.164464363907994,-4.641284641284626,1.2272666666666667,6.124681006197662,-5.718163427313005,-229.10653482395472,-0.006965271448199151,28.65484880083426,29.62674961119751,37.67143274000573,1.2245666666666666,0.015972859156143278,1.2161696490692737,0.02095932559454416,1.2272666666666667
2020-03-15,1.2434166993697122,1.2496,1.2381333333333333,-4.933106048866165,-0.00027160627953737304,1.2381333333333333,-0.0061970421707568,-0.003531583287213504,-1,-5.087542868930672,-5.285368740672136,1.2269333333333332,3.1472461596102477,-5.881149636902949,-196.26624746324217,-0.007742765224434054,28.847365106025606,30.09478672985783,38.86662850601021,1.2223333333333333,0.022265883353557135,1.1959214989609968,0.024367793568906813,1.2269333333333332
2020-03-16,1.2378111329131416,1.2431,1.2285,-4.321372854914207,-0.00027168006955002877,1.2285,0.00011366529933926602,0.06287634782723911,-1,-5.675176868655807,-5.9860504330497495,1.2266,0.0,-6.194554909758354,-168.89343291686043,-0.007788467795834364,29.042485732403307,30.577849117174964,40.01684919966291,1.2201,0.0009711360576805776,1.1774846552667682,0.016565976796781203,1.2266
